id,latitude,longitude,municipality,name,town,website_link
157,46.335,15.14194444,Velenje,Grad Švarcenštajn,Laze,https://sl.wikipedia.org/wiki/Grad_%C5%A0varcen%C5%A1tajn
158,46.19,13.72611111,Tolmin,Grad Tolmin,Tolmin,https://sl.wikipedia.org/wiki/Grad_Tolmin
159,45.89583889,14.88852194,Trebnje,Grad Trebnje,Trebnje,https://sl.wikipedia.org/wiki/Grad_Trebnje
160,45.88194444,13.99,Ajdovščina,Grad Trilek,Col,https://sl.wikipedia.org/wiki/Grad_Trilek
161,45.87694444,14.60694444,Velike Lašče,Turjak (novi grad),Turjak,https://sl.wikipedia.org/wiki/Grad_Turjak
162,45.51882222,15.15936667,Črnomelj,Grad Turn pri Črnomlju,Breznik,https://sl.wikipedia.org/wiki/Grad_Turn_pri_%C4%8Crnomlju
163,46.38,15.11888889,Velenje,Grad Turn pri Velenju,Hrastovec,https://sl.wikipedia.org/wiki/Grad_Turn_pri_Velenju
164,46.12694444,14.72194444,Moravče,Grad Tuštanj,Zgornji Tuštanj,https://sl.wikipedia.org/wiki/Grad_Tu%C5%A1tanj
165,46.42388889,15.18,Mislinja,Grad Valdek,Gornji Dolič,https://sl.wikipedia.org/wiki/Grad_Valdek
166,46.35694444,15.11,Velenje,Grad Velenje,Velenje,https://sl.wikipedia.org/wiki/Grad_Velenje
167,46.10544389,14.79251389,Litija,Grad Vernek,Vernek,https://sl.wikipedia.org/wiki/Grad_Vernek
168,45.61044444,13.89041667,Hrpelje - Kozina,Grad Vikumberg,Beka,https://sl.wikipedia.org/wiki/Grad_Vikumberg
169,46.56111111,15.53111111,Selnica ob Dravi,Grad Viltuš,Spodnji Slemen,https://sl.wikipedia.org/wiki/Grad_Viltu%C5%A1
170,45.46,15.25611111,Črnomelj,Grad Vinica,Vinica,"https://sl.wikipedia.org/wiki/Grad_Vinica,_%C4%8Crnomelj"
171,45.85,13.96388889,Vipava,Grad Vipava,Vipava,https://sl.wikipedia.org/wiki/Grad_Vipava
172,45.97194444,13.53805556,Brda,Grad Vipolže,Vipolže,https://sl.wikipedia.org/wiki/Grad_Vipol%C5%BEe
173,45.95111111,14.74388889,Ivančna Gorica,Grad Višnja Gora,Višnja Gora,https://sl.wikipedia.org/wiki/Grad_Vi%C5%A1nja_Gora
174,46.37694444,15.29305556,Vitanje,Vitanje (stari grad),Vitanje,https://sl.wikipedia.org/wiki/Grad_Vitanje_(stari_grad)
